[fla-gdn s0] step 25 | loss 9.0632 | 20s/900s | tok 102450 | 8460 tok/s
[fla-gdn s0] step 50 | loss 8.4487 | 32s/900s | tok 204900 | 8093 tok/s
[fla-gdn s0] step 75 | loss 7.6366 | 45s/900s | tok 307350 | 8130 tok/s
[fla-gdn s0] step 100 | loss 7.7789 | 58s/900s | tok 409800 | 8003 tok/s
[fla-gdn s0] step 125 | loss 7.9026 | 71s/900s | tok 512250 | 7872 tok/s
[fla-gdn s0] step 150 | loss 7.6554 | 84s/900s | tok 614700 | 7865 tok/s
[fla-gdn s0] step 175 | loss 7.3429 | 97s/900s | tok 717150 | 7858 tok/s
[fla-gdn s0] step 200 | loss 6.5568 | 111s/900s | tok 819600 | 7709 tok/s
[fla-gdn s0] step 225 | loss 7.1179 | 124s/900s | tok 922050 | 7776 tok/s
[fla-gdn s0] step 250 | loss 6.3719 | 137s/900s | tok 1024500 | 7658 tok/s
[fla-gdn s0] step 275 | loss 6.4126 | 151s/900s | tok 1126950 | 7654 tok/s
[fla-gdn s0] step 300 | loss 6.1852 | 164s/900s | tok 1229400 | 7604 tok/s
[fla-gdn s0] step 325 | loss 6.6751 | 179s/900s | tok 1331850 | 7668 tok/s
[fla-gdn s0] step 350 | loss 5.9133 | 193s/900s | tok 1434300 | 7363 tok/s
[fla-gdn s0] step 375 | loss 6.6454 | 210s/900s | tok 1536750 | 7555 tok/s
[fla-gdn s0] step 400 | loss 5.7403 | 225s/900s | tok 1639200 | 5047 tok/s
[fla-gdn s0] step 425 | loss 6.6525 | 241s/900s | tok 1741650 | 7851 tok/s
[fla-gdn s0] step 450 | loss 6.2887 | 256s/900s | tok 1844100 | 7751 tok/s
[fla-gdn s0] step 475 | loss 5.4147 | 272s/900s | tok 1946550 | 4726 tok/s
[fla-gdn s0] step 500 | loss 6.4996 | 291s/900s | tok 2049000 | 5033 tok/s
[fla-gdn s0] step 525 | loss 6.5499 | 310s/900s | tok 2151450 | 7350 tok/s
[fla-gdn s0] step 550 | loss 5.5032 | 329s/900s | tok 2253900 | 4898 tok/s
[fla-gdn s0] step 575 | loss 4.9538 | 349s/900s | tok 2356350 | 5106 tok/s
[fla-gdn s0] step 600 | loss 5.6482 | 366s/900s | tok 2458800 | 5143 tok/s
[fla-gdn s0] step 625 | loss 6.5997 | 381s/900s | tok 2561250 | 6159 tok/s
[fla-gdn s0] step 650 | loss 6.0273 | 397s/900s | tok 2663700 | 6723 tok/s
[fla-gdn s0] step 675 | loss 6.0469 | 412s/900s | tok 2766150 | 7713 tok/s
[fla-gdn s0] step 700 | loss 5.6599 | 428s/900s | tok 2868600 | 7744 tok/s
[fla-gdn s0] step 725 | loss 5.9808 | 442s/900s | tok 2971050 | 7657 tok/s
[fla-gdn s0] step 750 | loss 6.3594 | 455s/900s | tok 3073500 | 7643 tok/s
[fla-gdn s0] step 775 | loss 6.1874 | 468s/900s | tok 3175950 | 7618 tok/s
[fla-gdn s0] step 800 | loss 6.1659 | 482s/900s | tok 3278400 | 7608 tok/s
[fla-gdn s0] step 825 | loss 5.7725 | 495s/900s | tok 3380850 | 7634 tok/s
[fla-gdn s0] step 850 | loss 5.8585 | 509s/900s | tok 3483300 | 7639 tok/s
[fla-gdn s0] step 875 | loss 6.2817 | 522s/900s | tok 3585750 | 7642 tok/s
[fla-gdn s0] step 900 | loss 5.6969 | 536s/900s | tok 3688200 | 7640 tok/s
[fla-gdn s0] step 925 | loss 5.7979 | 549s/900s | tok 3790650 | 7642 tok/s
[fla-gdn s0] step 950 | loss 5.4696 | 563s/900s | tok 3893100 | 7625 tok/s
[fla-gdn s0] step 975 | loss 5.9913 | 576s/900s | tok 3995550 | 7625 tok/s
[fla-gdn s0] step 1000 | loss 4.8161 | 590s/900s | tok 4098000 | 7623 tok/s
[fla-gdn s0] step 1025 | loss 5.5219 | 603s/900s | tok 4200450 | 7647 tok/s
[fla-gdn s0] step 1050 | loss 4.9151 | 617s/900s | tok 4302900 | 7666 tok/s
[fla-gdn s0] step 1075 | loss 6.1939 | 631s/900s | tok 4405350 | 7639 tok/s
[fla-gdn s0] step 1100 | loss 4.9640 | 644s/900s | tok 4507800 | 7653 tok/s
[fla-gdn s0] step 1125 | loss 6.6141 | 658s/900s | tok 4610250 | 7609 tok/s
[fla-gdn s0] step 1150 | loss 6.0248 | 671s/900s | tok 4712700 | 7659 tok/s
[fla-gdn s0] step 1175 | loss 6.1154 | 684s/900s | tok 4815150 | 7632 tok/s
[fla-gdn s0] step 1200 | loss 5.9897 | 698s/900s | tok 4917600 | 7634 tok/s
[fla-gdn s0] step 1225 | loss 6.1153 | 711s/900s | tok 5020050 | 7620 tok/s
[fla-gdn s0] step 1250 | loss 6.1162 | 725s/900s | tok 5122500 | 7669 tok/s
[fla-gdn s0] step 1275 | loss 5.9436 | 738s/900s | tok 5224950 | 7621 tok/s
[fla-gdn s0] step 1300 | loss 5.4628 | 752s/900s | tok 5327400 | 7631 tok/s
[fla-gdn s0] step 1325 | loss 4.2408 | 765s/900s | tok 5429850 | 7661 tok/s
[fla-gdn s0] step 1350 | loss 5.4510 | 779s/900s | tok 5532300 | 7622 tok/s
[fla-gdn s0] step 1375 | loss 6.0457 | 792s/900s | tok 5634750 | 7584 tok/s
[fla-gdn s0] step 1400 | loss 6.0611 | 806s/900s | tok 5737200 | 7627 tok/s
[fla-gdn s0] step 1425 | loss 5.1631 | 819s/900s | tok 5839650 | 7615 tok/s
[fla-gdn s0] step 1450 | loss 6.0710 | 833s/900s | tok 5942100 | 7612 tok/s
[fla-gdn s0] step 1475 | loss 5.7718 | 846s/900s | tok 6044550 | 7631 tok/s
[fla-gdn s0] step 1500 | loss 5.1056 | 860s/900s | tok 6147000 | 7627 tok/s
[fla-gdn s0] step 1525 | loss 4.9356 | 873s/900s | tok 6249450 | 7643 tok/s
[fla-gdn s0] step 1550 | loss 5.7130 | 887s/900s | tok 6351900 | 7649 tok/s
/home/erikg/ndm/.wg-worktrees/agent-1120/experiments/e99_1p3b_controls/e99_lm_controls.py:334: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  timestamp=datetime.datetime.utcnow().isoformat() + 'Z',
CONTROL_RESULT {"config": "fla-gdn", "level": "fla-gdn", "role": "CONTROL: dense native GDN-2 / GatedDeltaNet", "seed": 0, "params": 1352352498, "params_b": 1.3524, "dim": 2688, "depth": 21, "n_heads": 44, "n_state": 64, "expansion": 2.0, "lr": 0.000863, "knob_lr_mult": 1.0, "batch_size": 2, "chunk_size": 2048, "dtype": "bf16", "n_knob_params": 0, "train_minutes": 15.0, "walltime_s": 900.5, "steps": 1574, "total_tokens": 6450252, "avg_loss": 6.261786, "final_loss": 5.453319, "late_train_loss": 5.534687, "loss_first": 11.368408, "heldout_nats_per_token": 5.767338, "heldout_bytes_per_token": 4.0504, "heldout_bpb": 2.054267, "heldout_tokens": 32768, "sustained_tok_s": 7421.5, "peak_mem_mb": 20868.5, "nan_seen": false, "stop_reason": "budget_reached", "roundtrip_l_pre": 6.098118, "roundtrip_l_post": 6.098036, "roundtrip_delta": 8.154e-05, "roundtrip_n_missing": 0, "roundtrip_n_unexpected": 0, "roundtrip_ok": true, "gpu_days_per_1B_tok": 1.559528686216813, "gpu_days_per_10B_tok": 15.59528686216813, "timestamp": "2026-06-05T22:38:29.170207Z"}
